date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-03-02,equity_equal_weight,equity,equal_weight,252,0.01967809946588015,0,0,0.01967809946588015,1.255261752023784,1.253521577481346,-0.02968934300159765,-0.02971691524170694,False
2022-03-02,equity_max_sharpe,equity,max_sharpe,252,0.0205220189293094,0,0,0.0205220189293094,1.118800978614531,1.115873364258591,-0.04658625352111223,-0.0469174247666807,False
2022-03-02,equity_min_variance,equity,minimum_variance,252,0.01163205651145521,0,0,0.01163205651145521,1.111250738442419,1.109744685538616,-0.02615234893361329,-0.02621614737667588,False
2022-03-02,equity_risk_parity,equity,risk_parity,252,0.01770683299183526,0,0,0.01770683299183526,1.200850033206627,1.199221992611289,-0.03579910289903232,-0.0358576761738556,False
2022-03-02,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,0.01759139000739534,0,0,0.01759139000739534,1.195355864735209,1.193487103717121,-0.03586322998308111,-0.03595081681048451,False
2022-03-03,combined_equal_weight,combined,equal_weight,252,-0.003782173211554022,0,0,-0.003782173211554022,1.387966659306284,1.385719419550339,-0.08909601867514994,-0.0892520026683562,False
2022-03-03,combined_max_sharpe,combined,max_sharpe,252,-0.0005988328101164823,0,0,-0.0005988328101164823,1.238879458269631,1.23543468412039,-0.08380202112605217,-0.08481206984788214,False
2022-03-03,combined_min_variance,combined,minimum_variance,252,0.006275827320880989,0,0,0.006275827320880989,1.108643603852353,1.107127914000926,-0.01861197336724441,-0.01866643156816206,False
2022-03-03,combined_risk_parity,combined,risk_parity,252,-0.0001100065159825873,0,0,-0.0001100065159825873,1.313744328202854,1.311762655172771,-0.05037942760923897,-0.05050956657324257,False
2022-03-03,crypto_equal_weight,crypto,equal_weight,365,-0.01959682932097609,0,0,-0.01959682932097609,2.814298978501096,2.808554649752319,-0.619477536951178,-0.6196776850928705,False
2022-03-03,crypto_max_sharpe,crypto,max_sharpe,365,-0.03551730585587067,0,0,-0.03551730585587067,3.287124654154949,3.280572895191211,-0.4529507156132456,-0.4530210670823827,False
2022-03-03,crypto_min_variance,crypto,minimum_variance,365,-0.02947960564753538,0,0,-0.02947960564753538,3.065849808290662,3.058559732491484,-0.4393613165596891,-0.4394385722518954,False
2022-03-03,crypto_risk_parity,crypto,risk_parity,365,-0.01959682932097609,0,0,-0.01959682932097609,2.640535546472319,2.635112121810268,-0.6186145018953864,-0.6188089557352677,False
